Date,Open,High,Low,Close,Adj Close,Volume
,RGTI,RGTI,RGTI,RGTI,RGTI,RGTI
2023-03-29,0.549,0.574,0.541,0.55,0.55,1045400
2023-03-30,0.56,0.6,0.544,0.6,0.6,603300
2023-03-31,0.605,0.74,0.585,0.723,0.723,1914100
2023-04-03,0.71,0.71,0.635,0.671,0.671,946000
2023-04-04,0.68,0.73,0.651,0.668,0.668,1189100
2023-04-05,0.69,0.7,0.558,0.587,0.587,1193800
2023-04-06,0.6,0.632,0.592,0.604,0.604,468600
2023-04-10,0.611,0.615,0.541,0.576,0.576,983600
2023-04-11,0.58,0.598,0.55,0.55,0.55,546300
2023-04-12,0.57,0.579,0.512,0.524,0.524,674800
2023-04-13,0.53,0.535,0.51,0.515,0.515,913200
2023-04-14,0.514,0.515,0.491,0.5,0.5,1168100
2023-04-17,0.5,0.5,0.47,0.491,0.491,926800
2023-04-18,0.52,0.568,0.503,0.557,0.557,861800
2023-04-19,0.55,0.57,0.514,0.549,0.549,781100
2023-04-20,0.553,0.553,0.505,0.512,0.512,409300
2023-04-21,0.512,0.513,0.48,0.495,0.495,494400
2023-04-24,0.5,0.501,0.47,0.477,0.477,498200
2023-04-25,0.48,0.48,0.468,0.469,0.469,320600
2023-04-26,0.477,0.477,0.45,0.452,0.452,473900
2023-04-27,0.45,0.465,0.441,0.448,0.448,457700
2023-04-28,0.45,0.49,0.441,0.47,0.47,715800
2023-05-01,0.498,0.498,0.42,0.42,0.42,762400
2023-05-02,0.418,0.419,0.4,0.403,0.403,644000
2023-05-03,0.4,0.41,0.368,0.375,0.375,1327100
2023-05-04,0.369,0.395,0.36,0.389,0.389,632200
2023-05-05,0.383,0.425,0.383,0.409,0.409,469300
2023-05-08,0.43,0.472,0.42,0.452,0.452,750600
2023-05-09,0.452,0.466,0.402,0.438,0.438,600900
2023-05-10,0.45,0.519,0.44,0.487,0.487,1003500
2023-05-11,0.52,0.529,0.47,0.5,0.5,974300
2023-05-12,0.49,0.49,0.44,0.461,0.461,658600
2023-05-15,0.465,0.52,0.465,0.515,0.515,874600
2023-05-16,0.515,0.535,0.48,0.514,0.514,756900
2023-05-17,0.521,0.57,0.5,0.533,0.533,1451800
2023-05-18,0.54,0.615,0.527,0.579,0.579,1491200
2023-05-19,0.6,0.6,0.501,0.507,0.507,1072100
2023-05-22,0.521,0.75,0.518,0.734,0.734,8676100
2023-05-23,0.78,0.8,0.671,0.738,0.738,4386600
2023-05-24,0.739,0.838,0.657,0.77,0.77,5825800
2023-05-25,0.875,0.885,0.76,0.797,0.797,3130700
2023-05-26,0.81,1.11,0.76,1.07,1.07,5773500
2023-05-30,1.12,1.16,0.9,1.03,1.03,5661500
2023-05-31,0.983,1.03,0.9,0.939,0.939,2400700
2023-06-01,0.906,1.08,0.85,0.954,0.954,4862200
2023-06-02,1.01,1.01,0.83,0.878,0.878,3401400
2023-06-05,0.876,0.949,0.795,0.912,0.912,2754900
2023-06-06,0.914,1.24,0.874,1.1,1.1,7573500
2023-06-07,1.16,1.18,0.961,1.035,1.035,5831900
2023-06-08,1.04,1.49,1.04,1.38,1.38,15840900
2023-06-09,1.61,1.65,1.23,1.33,1.33,11993100
2023-06-12,1.46,1.46,1.22,1.25,1.25,6056500
2023-06-13,1.27,1.35,1.12,1.31,1.31,5988400
2023-06-14,1.29,1.33,1.15,1.215,1.215,3798600
2023-06-15,1.18,1.255,1.17,1.23,1.23,2528500
2023-06-16,1.24,1.24,1.091,1.11,1.11,2809600
2023-06-20,1.11,1.18,1.05,1.085,1.085,2591600
2023-06-21,1.09,1.09,0.961,0.975,0.975,3886300
2023-06-22,0.994,0.999,0.87,0.98,0.98,3212200
2023-06-23,0.961,1.04,0.91,0.913,0.913,9439700
2023-06-26,0.91,1.13,0.91,0.995,0.995,4813400
2023-06-27,1.04,1.13,0.99,1.08,1.08,2649800
2023-06-28,1.11,1.27,1.05,1.24,1.24,7154700
2023-06-29,1.3,1.36,1.09,1.16,1.16,5595900
2023-06-30,1.21,1.32,1.12,1.175,1.175,4661800
2023-07-03,1.23,1.38,1.21,1.34,1.34,3590300
2023-07-05,1.34,1.668,1.31,1.59,1.59,9866800
2023-07-06,1.58,1.68,1.41,1.47,1.47,7652500
